Name,Accession,Start,Stop,Strand,GeneID,Locus,Locustag,Proteinproduct,Length,ProteinName
chromosome,NC_008596.1,499,1692,+,,dnaN,MSMEG_RS00005,WP_011726602.1,397,DNA polymerase III subunit beta
chromosome,NC_008596.1,1721,2614,+,,gnd,MSMEG_RS00010,WP_003891330.1,297,decarboxylating 6-phosphogluconate dehydrogenase
chromosome,NC_008596.1,2624,3778,+,,recF,MSMEG_RS00015,WP_011726603.1,384,DNA replication/repair protein RecF
chromosome,NC_008596.1,3775,4359,+,,,MSMEG_RS00020,WP_011726604.1,194,DNA replication protein DciA
chromosome,NC_008596.1,4591,6618,+,,gyrB,MSMEG_RS00025,WP_003891333.1,675,DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome,NC_008596.1,6648,9176,+,,gyrA,MSMEG_RS00030,WP_003891334.1,842,DNA gyrase subunit A
chromosome,NC_008596.1,9229,10011,+,,,MSMEG_RS00035,WP_011726605.1,260,DUF3566 domain-containing protein
chromosome,NC_008596.1,10411,11211,+,,,MSMEG_RS00050,WP_011726607.1,266,siderophore-interacting protein
chromosome,NC_008596.1,11215,12246,+,,,MSMEG_RS00055,WP_003891337.1,343,Fe(3+)-siderophore ABC transporter permease
chromosome,NC_008596.1,12243,13301,+,,,MSMEG_RS00060,WP_003891338.1,352,iron chelate uptake ABC transporter family permease subunit
chromosome,NC_008596.1,13310,14140,+,,,MSMEG_RS00065,WP_011726608.1,276,ABC transporter ATP-binding protein
chromosome,NC_008596.1,14130,15089,-,,,MSMEG_RS00070,WP_029104465.1,319,methionyl-tRNA formyltransferase
chromosome,NC_008596.1,15286,15522,+,,,MSMEG_RS00075,WP_014876641.1,78,MbtH family protein
chromosome,NC_008596.1,15525,17252,+,,,MSMEG_RS00080,WP_003891342.1,575,ABC transporter ATP-binding protein/permease
chromosome,NC_008596.1,17249,19018,+,,,MSMEG_RS00085,WP_011726610.1,589,ABC transporter ATP-binding protein/permease
chromosome,NC_008596.1,19052,41623,+,,,MSMEG_RS00090,WP_011726611.1,7523,non-ribosomal peptide synthetase
chromosome,NC_008596.1,41689,42636,-,,,MSMEG_RS00095,WP_011726612.1,315,iron-siderophore ABC transporter substrate-binding protein
chromosome,NC_008596.1,42944,43354,+,,,MSMEG_RS00100,WP_011726613.1,136,aspartate 1-decarboxylase
chromosome,NC_008596.1,43366,44688,+,,,MSMEG_RS00105,WP_011726614.1,440,lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein
chromosome,NC_008596.1,44692,45102,-,,cwsA,MSMEG_RS00110,WP_011726615.1,136,cell wall synthesis protein CwsA
chromosome,NC_008596.1,45223,45750,+,,,MSMEG_RS00115,WP_003891350.1,175,peptidylprolyl isomerase
chromosome,NC_008596.1,45854,46261,-,,,MSMEG_RS00120,WP_011726616.1,135,PH domain-containing protein
