Locus_tag	OperonID	Description
MSMEG_0001	operon_0003	NC_008596.1|gene0|MSMEG_0001|dnaN
MSMEG_0002	operon_0003	NC_008596.1|gene1|MSMEG_0002
MSMEG_0003	operon_0003	NC_008596.1|gene2|MSMEG_0003|recF
MSMEG_0004	operon_0003	NC_008596.1|gene3|MSMEG_0004
MSMEG_0005	operon_0004	NC_008596.1|gene4|MSMEG_0005|gyrB
MSMEG_0006	operon_0004	NC_008596.1|gene5|MSMEG_0006|gyrA
MSMEG_0007	operon_0004	NC_008596.1|gene6|MSMEG_0007
MSMEG_0008	operon_0004	NC_008596.1|gene7|MSMEG_0008
MSMEG_0009	operon_0004	NC_008596.1|gene8|MSMEG_0009
MSMEG_0010	operon_0004	NC_008596.1|gene9|MSMEG_0010
MSMEG_0011	operon_0004	NC_008596.1|gene10|MSMEG_0011
MSMEG_0012	operon_0004	NC_008596.1|gene11|MSMEG_0012
MSMEG_0013	operon_0004	NC_008596.1|gene12|MSMEG_0013
MSMEG_0015	operon_0004	NC_008596.1|gene13|MSMEG_0015
MSMEG_0014	operon_0005	NC_008596.1|gene14|MSMEG_0014
MSMEG_0016	operon_0006	NC_008596.1|gene15|MSMEG_0016
MSMEG_0017	operon_0006	NC_008596.1|gene16|MSMEG_0017
MSMEG_0018	operon_0006	NC_008596.1|gene17|MSMEG_0018
MSMEG_0019	operon_0006	NC_008596.1|gene18|MSMEG_0019
MSMEG_0020	operon_0007	NC_008596.1|gene19|MSMEG_0020
MSMEG_0021	operon_0008	NC_008596.1|gene20|MSMEG_0021|panD
MSMEG_0022	operon_0008	NC_008596.1|gene21|MSMEG_0022
MSMEG_0023	operon_0009	NC_008596.1|gene22|MSMEG_0023
MSMEG_0024	operon_0010	NC_008596.1|gene23|MSMEG_0024
MSMEG_0025	operon_0011	NC_008596.1|gene24|MSMEG_0025
MSMEG_0026	operon_0012	NC_008596.1|gene25|MSMEG_0026
MSMEG_0027	operon_0013	NC_008596.1|gene26|MSMEG_0027
MSMEG_0029	operon_0013	NC_008596.1|gene27|MSMEG_0029
MSMEG_0028	operon_0014	NC_008596.1|gene28|MSMEG_0028
MSMEG_0030	operon_0014	NC_008596.1|gene29|MSMEG_0030|pknA
MSMEG_0031	operon_0014	NC_008596.1|gene30|MSMEG_0031
MSMEG_0032	operon_0014	NC_008596.1|gene31|MSMEG_0032
MSMEG_0033	operon_0014	NC_008596.1|gene32|MSMEG_0033
MSMEG_0034	operon_0014	NC_008596.1|gene33|MSMEG_0034
MSMEG_0035	operon_0014	NC_008596.1|gene34|MSMEG_0035
MSMEG_0036	operon_0014	NC_008596.1|gene35|MSMEG_0036
MSMEG_0037	operon_0015	NC_008596.1|gene36|MSMEG_0037
MSMEG_0038	operon_0015	NC_008596.1|gene37|MSMEG_0038
MSMEG_0039	operon_0016	NC_008596.1|gene38|MSMEG_0039
MSMEG_0040	operon_0016	NC_008596.1|gene39|MSMEG_0040
MSMEG_0041	operon_0016	NC_008596.1|gene40|MSMEG_0041
MSMEG_0042	operon_0017	NC_008596.1|gene41|MSMEG_0042
MSMEG_0043	operon_0018	NC_008596.1|gene42|MSMEG_0043
MSMEG_0044	operon_0019	NC_008596.1|gene43|MSMEG_0044
MSMEG_0045	operon_0019	NC_008596.1|gene44|MSMEG_0045
MSMEG_0046	operon_0019	NC_008596.1|gene45|MSMEG_0046
MSMEG_0047	operon_0020	NC_008596.1|gene46|MSMEG_0047
MSMEG_0048	operon_0021	NC_008596.1|gene47|MSMEG_0048
MSMEG_0049	operon_0022	NC_008596.1|gene48|MSMEG_0049
MSMEG_0050	operon_0023	NC_008596.1|gene49|MSMEG_0050
MSMEG_0051	operon_0024	NC_008596.1|gene50|MSMEG_0051
MSMEG_0052	operon_0025	NC_008596.1|gene51|MSMEG_0052
MSMEG_0054	operon_0025	NC_008596.1|gene52|MSMEG_0054
MSMEG_0053	operon_0026	NC_008596.1|gene53|MSMEG_0053
MSMEG_0055	operon_0027	NC_008596.1|gene54|MSMEG_0055
MSMEG_0056	operon_0027	NC_008596.1|gene55|MSMEG_0056
MSMEG_0057	operon_0027	NC_008596.1|gene56|MSMEG_0057
MSMEG_0058	operon_0027	NC_008596.1|gene57|MSMEG_0058
MSMEG_0059	operon_0027	NC_008596.1|gene58|MSMEG_0059
MSMEG_0060	operon_0027	NC_008596.1|gene59|MSMEG_0060
MSMEG_0061	operon_0027	NC_008596.1|gene60|MSMEG_0061
MSMEG_0062	operon_0027	NC_008596.1|gene61|MSMEG_0062
MSMEG_0063	operon_0027	NC_008596.1|gene62|MSMEG_0063
MSMEG_0064	operon_0027	NC_008596.1|gene63|MSMEG_0064
MSMEG_0065	operon_0027	NC_008596.1|gene64|MSMEG_0065
MSMEG_0066	operon_0027	NC_008596.1|gene65|MSMEG_0066
MSMEG_0067	operon_0028	NC_008596.1|gene66|MSMEG_0067
MSMEG_0068	operon_0028	NC_008596.1|gene67|MSMEG_0068
MSMEG_0069	operon_0029	NC_008596.1|gene68|MSMEG_0069
MSMEG_0070	operon_0030	NC_008596.1|gene69|MSMEG_0070
MSMEG_0071	operon_0030	NC_008596.1|gene70|MSMEG_0071
MSMEG_0072	operon_0031	NC_008596.1|gene71|MSMEG_0072
MSMEG_0074	operon_0032	NC_008596.1|gene72|MSMEG_0074
MSMEG_0073	operon_0033	NC_008596.1|gene73|MSMEG_0073
MSMEG_0075	operon_0034	NC_008596.1|gene74|MSMEG_0075
MSMEG_0076	operon_0035	NC_008596.1|gene75|MSMEG_0076
MSMEG_0077	operon_0036	NC_008596.1|gene76|MSMEG_0077
MSMEG_0078	operon_0036	NC_008596.1|gene77|MSMEG_0078
MSMEG_0079	operon_0037	NC_008596.1|gene78|MSMEG_0079
