locus_tag	old_locus_tag	gene	Name	start	end	strand	product	note	type	ID	NCBI
MSMEG_0001	MSMEG_0001	dnaN	dnaN	499	1692	+	DNA polymerase III subunit beta	binds the polymerase to DNA and acts as a sliding clamp	gene	gene0	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0001
MSMEG_0002	MSMEG_0002		MSMEG_0002	1721	2614	+	6-phosphogluconate dehydrogenase	similar to full-length Gnd%2C these proteins seems to have a truncated C-terminal 6PGD domainin%3B in methylobacillus flagellatus this gene is essential for NAD+-dependent oxidation of 6-phosphogluconate	gene	gene1	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0002
MSMEG_0003	MSMEG_0003	recF	recF	2624	3778	+	recombination protein F	Required for DNA replication%3B binds preferentially to single-stranded%2C linear DNA	gene	gene2	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0003
MSMEG_0004	MSMEG_0004		MSMEG_0004	3775	4359	+	hypothetical protein	RecF-gyrB intergenic region protein%3B identified by match to protein family HMM PF05258	gene	gene3	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0004
MSMEG_0005	MSMEG_0005	gyrB	gyrB	4591	6618	+	DNA gyrase subunit B	negatively supercoils closed circular double-stranded DNA	gene	gene4	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0005
MSMEG_0006	MSMEG_0006	gyrA	gyrA	6648	9176	+	DNA gyrase subunit A	negatively supercoils closed circular double-stranded DNA	gene	gene5	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0006
MSMEG_0007	MSMEG_0007		MSMEG_0007	9229	10011	+	hypothetical protein		gene	gene6	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0007
MSMEG_0008	MSMEG_0008		MSMEG_0008	10072	10148	+	tRNA-Ile		tRNA	gene7	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0008
MSMEG_0009	MSMEG_0009		MSMEG_0009	10184	10276	+	hypothetical protein		gene	gene8	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0009
MSMEG_0010	MSMEG_0010		MSMEG_0010	10293	10368	+	tRNA-Ala		tRNA	gene9	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0010
